Facility Name,Facility,NumberOfUnits,Latitude,Longitude,WindTurbineManufacturer
Blue Canyon V Wind Farm,Blue Canyon V,66,34.8582,-98.54752,GE Energy
Blue Canyon Wind Farm,Blue Canyon,45,34.852678,-98.551807,NEG Micon
Blue Creek Wind Farm,Blue Creek Wind Farm,152,41.018286,-84.615355,Gamesa
Blue Sky Green Field Wind Farm,Blue Sky Green Field Wind Farm,88,43.908549,-88.305384,Vestas
Bluegrass Ridge Wind Energy Project,Bluegrass Ridge Wind Energy Project,27,40.092392,-94.51429,Suzlon Energy Company
Bluewater Wind New Jersey,Bluewater Wind New Jersey,116,39.18,-74.14,Undetermined
Bluewater Wind Rhode Island,Bluewater Wind Rhode Island,,41.357,-71.152,
Boondocks Truck Stop Wind Farm,Boondocks Truck Stop,1,42.4703,-93.5624,
Bravo Wind,Bravo Wind,,42.460351,-113.474564,
Brazoria Offshore,Brazoria Offshore,,28.764,-95.33,
Brazos Wind Ranch Wind Farm,Brazos Wind Ranch,160,32.94914,-101.144357,Mitsubishi
"Breezy Bucks (I,II) Salty Dog (I,II) Roadrunner, Windy Dog, Wally's Wind Farm","Breezy Bucks (I,II) Salty Dog (I,II) Roadrunner, Windy Dog, Wally's Wind Farm",7,43.9802442,-96.0105765,Suzlon Energy Company
Brigantine OffshoreMW Phase 1,Brigantine OffshoreMW Phase 1,,39.584,-73.77,
Brigantine OffshoreMW Phase 2,Brigantine OffshoreMW Phase 2,,39.348,-73.969,
Broken Bow Wind Farm,Broken Bow Wind Farm,50,41.400029,-99.573412,Undetermined
Buena Vista Wind Farm I,Buena Vista,211,37.7347,-121.652,Windmaster
Buena Vista Wind Farm II,Buena Vista,38,37.7347,-121.652,Mitsubishi
Buffalo Bear Wind Farm,Buffalo Bear,9,36.573681,-99.573275,Suzlon Energy Company
Buffalo Gap 3 Wind Farm,Buffalo Gap 3,74,32.310556,-100.149167,Siemens
Buffalo Gap II Wind Farm,Buffalo Gap II,155,32.310556,-100.149167,GE Energy
Buffalo Gap Wind Farm,Buffalo Gap,67,32.310556,-100.149167,Vestas
Buffalo Mountain Wind Energy Center I,Buffalo Mountain Wind Energy Center,3,36.115822,-84.333742,Vestas
Buffalo Mountain Wind Energy Center II,Buffalo Mountain Wind Energy Center,15,36.115822,-84.333742,Vestas
Buffalo Ridge II Wind Power Project,Buffalo Ridge II Wind Power Project,105,44.55761,-96.742888,Gamesa
Buffalo Ridge Wind Farm,Buffalo Ridge,73,44.0039,-96.0526,Kenetech
