Facility Name,Facility,NumberOfUnits,Latitude,Longitude,WindTurbineManufacturer
Grand Ridge II Wind Farm,Grand Ridge II,34,41.15496,-88.750234,GE Energy
Grand Ridge III Wind Farm,Grand Ridge III,40,41.15496,-88.750234,GE Energy
Grand Ridge Wind Farm,Grand Ridge Wind Farm,66,40.999966,-88.401693,GE Energy
Grant County Wind Farm,Grant County Wind Farm,10,45.82868,-95.795288,Suzlon Energy Company
Gray County Wind Farm,Gray County Wind Farm,170,37.5855,-100.384,Vestas
Grays Harbor Demonstration Project,Grays Harbor Demonstration Project,1,46.858,-124.187,
Great Lakes Science Center Wind Farm,Great Lakes Science Center,1,41.506659,-81.696816,Vestas
Great Plains Wind Farm,Great Plains,76,36.285809,-101.358662,GE Energy
Green Mountain Energy Wind Farm I,AMP-Ohio/Green Mountain Energy Wind Farm,2,41.374909,-83.738093,Vestas
Green Mountain Energy Wind Farm II,AMP-Ohio/Green Mountain Energy Wind Farm,2,41.374909,-83.738093,Vestas
Green Mountain Wind Farm,Green Mountain Wind Farm,8,39.850753,-79.066629,Nordex
Green Power Wind Farm,Green Power,22,33.9095,-116.734,Zond
Green Ridge Power Wind Farm I,Green Ridge Power,1476,37.7347,-121.652,Kenetech
Green Ridge Power Wind Farm II,Green Ridge Power,41,37.7347,-121.652,Kenetech
Greensburg Wind Farm,Greensburg Wind Farm,10,37.576188,-99.320898,Suzlon Energy Company
Gulf Wind Farm,Gulf Wind,118,27.081328,-97.561619,Mitsubishi
Hackberry Wind Project,Hackberry Wind Project,72,32.765491,-99.413402,Siemens
Hampton Roads Demonstration Project,Hampton Roads Demonstration Project,3,36.965,-76.289,
Hancock County Wind Farm,Hancock County Wind Farm,148,43.066524,-93.70481,Vestas
Happy Jack Wind Farm,Happy Jack,14,41.137532,-104.994929,Suzlon Energy Company
Harbec Plastic Wind Turbine Wind Farm,Harbec Plastic Wind Turbine,1,43.226039,-77.361776,Fuhrlander
Harbeck Plastic Wind Turbine Wind Farm,Harbeck Plastic Wind Turbine,1,43.16103,-77.6109219,Fuhrlander
Hardin-Hilltop Wind Project,Hardin-Hilltop Wind Project,7,42.086204,-94.349999,Suzlon Energy Company
Hardscrabble Wind Power Project,Hardscrabble Wind Power Project,37,43.076452,-74.859602,Gamesa
Hartland Wind Farm,Hartland Wind Farm,333,48.556661,-101.7777865,
Harvest Wind Farm I,Harvest Wind Farm,43,45.855664,-120.288548,Siemens
Harvest Wind Farm II,Harvest Wind Farm,32,43.829789,-83.222872,Vestas
Hatchet Ridge Wind Farm,Hatchet Ridge Wind Farm,44,40.875836,-121.741233,Siemens
Hawaii Renewable,Hawaii Renewable,16,20.2564,-155.850409,Vestas
Hawi Renewable Wind Farm,Hawi Renewable,16,19.5429151,-155.6658568,Vestas
Haxton Wind CommRE,Haxton Wind CommRE,20,40.627829,-102.636852,
Hay Canyon Wind Farm,Hay Canyon Wind Farm,48,45.479548,-120.741491,Suzlon Energy Company
High Lonesome Wind Farm,High Lonesome,40,34.498433,-105.927606,Clipper
High Plains Wind Farm,High Plains,66,41.665943,-106.043487,GE Energy
High Sheldon Energy Wind Farm,High Sheldon Energy Wind Farm,75,42.721106,-78.406972,GE Energy
High Winds Wind Farm,High Winds,90,38.124844,-121.764915,Vestas
Highland New Wind,Highland New Wind,19,38.464544,-79.663324,
Highland Wind Project,Highland Wind Project,25,40.294234,-78.699152,Nordex
Highmore Wind Energy Project,Highmore Wind Energy Project,27,44.380689,-99.441683,GE Energy
Hilltop Power Wind Farm,Hilltop Power,1,46.729553,-94.6858998,
Hilltop Wind Farm,Hilltop,1,43.9985815,-96.3128117,DeWind
Holy Name Central Catholic School Wind Turbine,Holy Name Central Catholic School Wind Turbine,1,42.24087,-71.783879,Vestas
Hooper Bay Wind Farm,Hooper Bay,3,61.53572,-166.097182,DES
Hoosier Wind Project,Hoosier Wind Project,53,40.636707,-87.299953,REpower
Hopkins Ridge II Wind Farm,Hopkins Ridge II,4,46.408163,-117.813199,Vestas
Hopkins Ridge Wind Farm,Hopkins Ridge Wind Farm,83,46.420651,-117.802155,Vestas
Horse Butte Wind Project,Horse Butte Wind Project,32,43.491689,-111.789344,Vestas
Horse Hollow Expansion Wind Farm,Horse Hollow Expansion,2,32.243193,-100.265633,GE Energy
Horse Hollow II Wind Farm,Horse Hollow II,130,32.243826,-100.131898,Siemens
Horse Hollow III Wind Farm,Horse Hollow III,149,32.243125,-100.045245,GE Energy
Horse Hollow Wind Energy Center,Horse Hollow Wind Energy Center,142,32.230566,-100.047991,GE Energy
Horseshoe Bend Wind Farm,Horseshoe Bend,6,47.497516,-111.432567,GE Energy
Hot Springs,Hot Springs,21,42.95,-115.63,Suzlon Energy Company
Howard Wind Energy Project,Howard Wind Energy Project,2,44.0076,-97.5267,Micon
Hudson Canyon,Hudson Canyon,200,40.151,-73.53,
Hueco Mountain Wind Ranch,Hueco Mountain Wind Ranch,2,31.6966,-106.295,Vestas
Hull Wind Farm,Hull,1,42.2727,-70.8597,Vestas
Hull Wind II Wind Farm,Hull II,1,42.2727,-70.8597,Vestas
Hull Wind III Wind Farm,Hull III,4,42.306172,-70.845881,Undetermined
Humboldt Industrial Park Wind Farm,Humboldt Industrial Park,2,40.9507,-75.9735,
Hyannis Country Garden Wind Farm,Hyannis Country Garden,1,41.6356667,-70.2994661,DES
Hydrogen Pilot Project Wind Farm,Hydrogen Pilot Project,2,43.5141,-116.088,
Hywind 2 Demonstration,Hywind 2 Demonstration,4,43.524,-69.534,
IBEW Local 103 Wind Farm,IBEW Local 103,1,42.3071,-71.0331,Fuhrl?nder
IDGWP Wind Farm,IDGWP,3,43.0699663,-94.233019,Zond
Illinois Rural Electric Cooperative Wind Farm,Illinois Rural Electric Cooperative,1,39.6189,-90.9627,Vestas
Illinois Sustainable Technologies Center,Illinois Sustainable Technologies Center,1,40.090615,-88.242006,Clipper
Inadale (Roscoe IV) Wind Farm,Inadale (Roscoe IV),197,32.346675,-100.379717,Mitsubishi
Indian Mesa Wind Farm I,Indian Mesa Wind Farm,125,30.920167,-102.116811,Vestas
Indian Mesa Wind Farm II,Indian Mesa Wind Farm,1,36.278,-101.345,Vestas
International Turbine Research Wind Farm,International Turbine Research,167,37.0445,-121.175,Various
Intrepid Expansion Wind Farm,Intrepid Expansion,15,42.483311,-95.308807,Mitsubishi
Intrepid Wind Farm,Intrepid,107,42.537923,-95.289502,GE Wind
Iowa Distributed Wind Generation Project,Iowa Distributed Wind Generation Project,3,43.0691,-94.2255,Zond 750
Iowa Lakes Community College Wind Farm,Iowa Lakes Community College,1,43.397912,-94.81768,Vestas
Iowa Lakes Lakota Wind Farm,Iowa Lakes Lakota Wind,7,43.377021,-94.139493,GE Energy
Iowa Lakes Superior Wind Farm,Iowa Lakes Superior Wind,7,43.447756,-94.980719,GE Energy
JD Wind 1 Wind Farm,JD Wind 1,8,36.398384,-101.376997,Suzlon Energy Company
JD Wind 10 Wind Farm,JD Wind 10,8,35.808304,-101.994807,Suzlon Energy Company
JD Wind 11 Wind Farm,JD Wind 11,8,35.808304,-101.994807,Suzlon Energy Company
JD Wind 2 Wind Farm,JD Wind 2,8,36.398384,-101.376997,Suzlon Energy Company
JD Wind 3 Wind Farm,JD Wind 3,8,36.398384,-101.376997,Suzlon Energy Company
JD Wind 4 Wind Farm,JD Wind 4,38,36.398384,-101.376997,Suzlon Energy Company
JD Wind 5 Wind Farm,JD Wind 5,8,36.466801,-101.813446,Suzlon Energy Company
JD Wind 6 Wind Farm,JD Wind 6,8,36.466801,-101.813446,Suzlon Energy Company
JD Wind 7 Wind Farm,JD Wind 7,8,35.808304,-101.994807,Suzlon Energy Company
JD Wind 8 Wind Farm,JD Wind 8,8,35.808304,-101.994807,Suzlon Energy Company
JD Wind 9 Wind Farm,JD Wind 9,8,35.808304,-101.994807,Suzlon Energy Company
JJN Wind Farm,JJN Wind Farm,1,44.0039,-96.0526,Vestas
Jeffers Wind Farm,Jeffers,20,44.065088,-95.255935,Clipper
Jefferson Offshore,Jefferson Offshore,,29.568,-93.957,
Jersey Atlantic Wind Farm,Jersey Atlantic Wind Farm,5,39.383892,-74.44862,GE Energy
Jiminy Peak Ski Resort Wind Farm,Jiminy Peak Ski Resort,1,42.5554,-73.2898,GE Energy
Judith Gap Wind Farm,Judith Gap,90,46.6005,-109.749,GE Energy
Juniper Canyon,Juniper Canyon,128,45.730733,-120.76807,Mitsubishi
KTFC Midwest Bible Radio Wind Farm,KTFC Midwest Bible Radio,1,42.4837,-96.3068,
Kaheawa Wind Farm,Kaheawa,20,20.2564,-155.850409,GE Energy
Kahuku Wind,Kahuku Wind,12,21.684095,-157.982372,Clipper
Kama'oa Wind Farm,Kama'oa Wind Farm,37,19.685156,-155.5511,Mitsubishi
Karen Avenue Wind Farm,Karen Avenue Windfarm,6,33.9095,-116.734,Vestas
Karen Avenue Wind Farm II (San Gorgonio Farms),Karen Avenue Windfarm II (San Gorgonio Farms),3,33.9095,-116.734,GE Energy
Kas Farms Wind Farm,Kas Farms,2,43.9948,-96.3175,NEG Micon
Keenan II Wind Facility,Keenan II Wind Facility,66,36.387336,-99.450502,Siemens
Kenetech Wind Farm,Kenetech,101,33.9095,-116.734,Kenetech
Kenetech/Wintech Wind Farm,Kenetech/Wintech,147,33.9095,-116.734,Carter; Micon; Nordtank
Kibby Mountain II,Kibby Mountain II,22,45.354154,-70.65412,Vestas
"Kibby Mountain, Phase I Wind Farm","Kibby Mountain, Phase I",22,43.973144,-71.030844,Vestas
Kimball Wind Project Wind Farm,Kimball Wind Project,7,41.2724,-103.695,NEG Micon
King Mountain Wind Ranch I,King Mountain Wind Ranch,214,31.280873,-102.195861,Bonus
King Mountain Wind Ranch II,King Mountain Wind Ranch,1,31.238758,-102.133763,Vestas
Kit Carson Wind Project,Kit Carson Wind Project,34,39.368093,-102.323284,GE Energy
Kittitas Valley Wind Power Project,Kittitas Valley Wind Power Project,48,47.139001,-120.670481,Suzlon Energy Company
Klondike II Wind Farm,Klondike II,50,45.592556,-120.590322,GE Energy
Klondike III I Wind Farm,Klondike III,80,45.572921,-120.551527,GE Energy
Klondike III II Wind Farm,Klondike III,44,45.572921,-120.551527,Siemens
Klondike III III Wind Farm,Klondike III,1,45.572921,-120.551527,Mitsubishi
Klondike IIIA Wind Farm,Klondike IIIA,51,45.572921,-120.551527,GE Energy
Klondike Wind Farm,Klondike,16,45.580605,-120.601781,GE Energy
Kodiak Island Wind Farm,Kodiak Island Wind Farm,3,57.782952,-152.462182,GE Energy
Kotzebue Wind Project I,Kotzebue Wind Project,1,66.836485,-162.556955,Northern Power Systems Northwind
Kotzebue Wind Project II,Kotzebue Wind Project,3,66.83912,-162.562816,Integrity Wind Systems
Kotzebue Wind Project III,Kotzebue Wind Project,1,66.83716,-162.556955,Vestas
Kotzebue Wind Project Phase I,Kotzebue Wind Project Phase I,3,66.83907,-162.551315,Atlantic Orient Co.
Kotzebue Wind Project Phase II & III,Kotzebue Wind Project Phase II & III,7,66.839104,-162.556894,Atlantic Orient Co.
Kotzebue Wind Project Phases II & III,Kotzebue Wind Project Phases II & III,7,66.8983333,-162.5966666,AOC
Kumeyaay Wind Power Project,Kumeyaay Wind Power Project,25,32.710183,-116.333224,Gamesa
Lac qui Parle Valley School Wind Farm,Lac qui Parle Valley School,1,45.073288,-96.056312,Micon
Lake Benton I Wind Farm,Lake Benton I,142,44.230507,-96.248327,GE Energy
Lake Benton II Wind Farm,Lake Benton II,138,44.226606,-96.225049,Zond
Lake Erie Alternative Power,Lake Erie Alternative Power,1400,42.265,-80.642,Siemens
Lake Palmdale Wind Farm,Lake Palmdale,1,34.555932,-118.118307,Vestas
Lakefield,Lakefield,137,43.6887888,-95.1348456,GE Energy
Laker Elementary School Wind Farm,Laker Elementary School,3,43.817384,-83.228218,Nordtank
Lakeshore Technical College Wind Farm,Lakeshore Technical College,1,43.924176,-87.75139,EMS
Lakeview Ridge Wind Farm,Lakeview Ridge,1,44.422756,-96.432545,NEG Micon
Lakota Ridge Wind Farm,Lakota Ridge,15,44.422756,-96.432545,NEG Micon
Lalamilo Wells II Wind Farm,Lalamilo Wells II,20,19.9875,-155.765556,Jacobs
Lalamilo Wells Wind Farm,Lalamilo Wells,26,19.9875,-155.765556,Jacobs
Lamar Wind Energy Project I,Lamar Wind Energy Project,3,38.033395,-102.538862,GE Energy
Lamar Wind Energy Project II,Lamar Wind Energy Project,1,38.032361,-102.529578,GE Energy
Lamar Wind Energy Project III,Lamar Wind Energy Project,1,38.0326,-102.532,GE Energy
Langdon II - FPL Wind Farm,Langdon II - FPL,27,48.687255,-98.309298,GE Energy
Langdon II - Otter Tail Wind Farm,Langdon II - Otter Tail,27,48.687255,-98.309298,GE Energy
Langdon Wind Project (4Q07),Langdon Wind Project (4Q07),79,48.682135,-98.318582,GE Energy
Langford Wind Farm,Langford Wind Farm,100,31.157338,-100.609624,GE Energy
Laredo Ridge Wind Farm,Laredo Ridge Wind Farm,54,41.869644,-98.03205,GE Energy
Leaning Juniper 2A,Leaning Juniper 2A,43,45.646628,-120.24145,Suzlon Energy Company
Leaning Juniper 2B,Leaning Juniper 2B,74,45.646628,-120.24145,GE Energy
Leaning Juniper Wind Farm,Leaning Juniper,67,45.67598,-120.242715,GE Energy
Lee-Dekalb Wind Energy Center,Lee-Dekalb Wind Energy Center,145,41.710783,-89.041507,GE Energy
Lempster Wind Farm,Lempster Wind Farm,12,43.233333,-72.15,Gamesa
Lenox Municipal Utilities Wind Farm,Lenox Municipal Utilities,1,40.880592,-94.559029,NEG Micon
Leon Sneve Wind Project Wind Farm,Leon Sneve Wind Project,1,43.762,-95.8274,NEG Micon
Lewandoski Wind Farm,Lewandoski Wind Farm,2,43.612631,-116.211076,
Liberty Turbine Test Wind Farm,Liberty Turbine Test,1,41.96251,-106.415918,Clipper Windpower
Lincoln County Wind Farms,Lincoln County Wind Farms,1,44.4039,-96.2646,NEG Micon
Lincoln Wind Energy Facility I,Lincoln Wind Energy Facility,1,40.7649,-96.7265,Vestas
Lincoln Wind Energy Facility II,Lincoln Wind Energy Facility,1,40.7649,-96.7265,Vestas
Linden Ranch,Linden Ranch,25,45.757,-120.795998,REPower
Little Pringle I,Little Pringle I,5,35.803356,-101.43352,DeWind
Little Pringle II,Little Pringle II,5,35.803356,-101.43352,DeWind
Llano Estacado Wind Ranch at Texico,Llano Estacado Wind Ranch at Texico,1,34.6283,-103.387,Vestas
"Llano Estacado Wind Ranch at Texico, phase II","Llano Estacado Wind Ranch at Texico, phase II",2,34.6283,-103.387,Vestas
Llano Estacado Wind Ranch at White Deer,Llano Estacado Wind Ranch at White Deer,80,35.4613,-101.238,Mitsubishi
Locust Ridge II Wind Farm,Locust Ridge II,51,40.7067,-76.2238,Gamesa
Locust Ridge Wind Farm,Locust Ridge Wind Farm,13,40.821363,-76.148216,Gamesa
Loess Hills Wind Energy Center,Loess Hills Wind Energy Center,4,40.410864,-95.514861,Suzlon Energy Company
Lone Star I (4Q07) Wind Farm,Lone Star I (4Q07),9,32.594885,-99.506464,Gamesa
Lone Star I (Q2) Wind Farm,Lone Star I (Q2),36,32.594885,-99.506464,Gamesa
Lone Star I (Q3) Wind Farm,Lone Star I (Q3),55,32.594885,-99.506464,Gamesa
Lone Star II (1Q08) Wind Farm,Lone Star II (1Q08),52,32.594885,-99.506464,Gamesa
Lone Star II (2Q08) Wind Farm,Lone Star II (2Q08),26,32.594885,-99.506464,Gamesa
Lone Star II (4Q07) Wind Farm,Lone Star II (4Q07),22,32.594885,-99.506464,Gamesa
Long Island New York City Offshore Wind Farm,Long Island New York City Offshore Wind Farm,,40.41,-73.72,Undetermined
Lookout Wind Farm,Lookout,18,39.850807,-78.936954,Suzlon Energy Company
Loranger Power Generation Wind Farm,Loranger Power Generation,3,44.501183,-71.231588,
Lost Creek Wind Farm,Lost Creek Wind Farm,100,39.98080324,-94.55009937,GE Energy
Lost Lakes Wind Farm,Lost Lakes Wind Farm,61,43.32401,-95.264354,Vestas
Lower Snake River I,Lower Snake River I,149,46.375632,-117.703257,Siemens
Luverne Wind Farm (North Field),Luverne Wind Farm (North Field),113,47.336147,-97.943716,GE Energy
MWRA Deer Island Wind,MWRA Deer Island Wind,2,42.346751,-70.957006,
Macho Springs Wind Farm,Macho Springs Wind Farm,28,32.573639,-107.456399,Vestas
Mackinaw City Wind Farm,Mackinaw City,2,45.738212,-84.738024,NEG Micon
Madison Wind Power Project,Madison Wind Power Project,7,42.91455,-75.569851,Vestas
Maiden Winds,Maiden Winds,5,44.000815,-96.340445,Vestas
Mainden Winds Wind Farm,Mainden Winds,5,43.9985815,-96.3128117,Vestas
Majestic Wind Farm,Majestic Wind Farm,53,35.46902,-101.239382,GE Energy
Manchester,Manchester,1,42.9911,-71.463,Atlantic Orient Co.
Maple Ridge 1a Wind Farm,Maple Ridge 1a,20,43.775565,-75.584614,Vestas
Maple Ridge Wind Farm (2005 portion),Maple Ridge Wind Farm (2005 portion),83,43.775565,-75.584614,Vestas
Maple Ridge Wind Farm (2006 portion),Maple Ridge Wind Farm (2006 portion),37,43.775565,-75.584614,Vestas
"Maple Ridge Wind Farm, phase II","Maple Ridge Wind Farm, phase II",55,43.775565,-75.584614,Vestas
Marengo II Wind Farm,Marengo II,39,46.448343,-117.851043,Vestas
Marengo Wind Farm,Marengo Wind Farm,78,46.448343,-117.851043,Vestas
Mark Richey Woodworking Wind Farm,Mark Richey Woodworking Wind Farm,1,42.80211,-70.880604,
Mars Hill (2006) Wind Farm,Mars Hill (2006),6,46.551388,-67.808333,GE Energy
Mars Hill (2007) Wind Farm,Mars Hill (2007),22,46.551388,-67.808333,GE Energy
Marshall Wind Farm,Marshall Wind Farm,9,44.331173,-95.816331,Suzlon Energy Company
Marshalltown Wind Farm,Marshalltown,1,42.0518,-92.9079,Micon
Martinsdale Colony North,Martinsdale Colony North,11,46.52,-110.28,Windmatic
Martinsdale Colony South,Martinsdale Colony South,8,46.49,-110.28,Mitsubishi
Massachusetts Maritime Academy Wind Farm,Massachusetts Maritime Academy,1,41.741349,-70.62382,Vestas
Massachusetts Military Reservation,Massachusetts Military Reservation,1,41.690386,-70.550108,Fuhrlander
McAdoo Wind Farm,McAdoo Wind Farm,100,33.747757,-100.996846,GE Energy
McFadden Ridge Wind Farm,McFadden Ridge,19,41.718626,-106.107001,GE Energy
McKinney Wal-Mart Wind Farm,McKinney Wal-Mart,1,33.220625,-96.630571,Bergey Windpower
McNeilus Wind Farm I,McNeilus,10,43.673251,-92.665436,NEG Micon
McNeilus Wind Farm II,McNeilus,1,43.673251,-92.665436,NEG Micon
McNeilus Wind Farm III,McNeilus,6,43.673251,-92.665436,NEG Micon
McNeilus Wind Farm IV,McNeilus,6,43.673251,-92.665436,NEG Micon
Meadow Lake II,Meadow Lake II,61,40.601111,-86.864167,Acciona
Meadow Lake II (3Q10),Meadow Lake II (3Q10),5,40.601111,-86.864167,Acciona
Meadow Lake III,Meadow Lake III,69,40.601111,-86.864167,GE Energy
Meadow Lake IV,Meadow Lake IV,47,40.601111,-86.864167,Suzlon Energy Company
Meadow Lake Wind Farm,Meadow Lake Wind Farm,121,40.601111,-86.864167,Vestas
Medicine Bow Wind Farm I,Medicine Bow,5,41.927554,-106.371968,Vestas
Medicine Bow Wind Farm II,Medicine Bow,2,41.927554,-106.371968,Vestas
Medicine Bow Wind Farm III,Medicine Bow,1,41.927554,-106.371968,Nordtank
Medicine Bow Wind Farm IV,Medicine Bow,2,41.927554,-106.371968,Vestas
Mendota Hills Wind Farm,Mendota Hills,63,41.738291,-89.044032,Gamesa
Meridian Trust Wind Farm I,Meridian Trust,1,33.9095,-116.734,Bonus
Meridian Trust Wind Farm II,Meridian Trust,74,33.9095,-116.734,Kenetech
Meridian Way II Wind Farm,Meridian Way II,32,39.43274,-97.545217,Vestas
Meridian Way Wind Farm,Meridian Way,35,39.43274,-97.545217,Vestas
Mesalands Community College Wind Farm,Mesalands Community College,1,35.170978,-103.736088,GE Energy
"Metro Wind, LLC Wind Farm","Metro Wind, LLC",1,45.379527,-93.634011,Vestas
Meyersdale Wind Farm,Meyersdale,20,39.786246,-79.004659,NEG Micon
Michigan Offshore Wind Pilot Project,Michigan Offshore Wind Pilot Project,1,43.231,-86.307,
Michigan Wind I Wind Farm,Michigan Wind I,46,43.7099,-82.9388,GE Energy
Mid-Atlantic Wind Park,Mid-Atlantic Wind Park,150,38.633333,-74.775,Vestas (Anticipated)
Milford Wind Corridor Phase I (GE Energy),Milford Wind Corridor Phase I (GE Energy),39,38.52227,-112.935262,GE Energy
Milford Wind Corridor Phase II,Milford Wind Corridor Phase II,68,38.645608,-112.878027,GE Energy
"Milford Wind Corridor, Phase I (Clipper) Wind Farm","Milford Wind Corridor, Phase I (Clipper)",58,38.52227,-112.935262,Clipper
"Milford Wind Corridor, Phase I (GE Energy) Wind Farm","Milford Wind Corridor, Phase I (GE Energy)",39,39.3209801,-111.0937311,GE Energy
Mill Run Wind Power Project,Mill Run Wind Power Project,10,39.921026,-79.388666,GE Energy
Milner Dam Wind Park,Milner Dam Wind Park,13,42.495962,-114.021106,GE Energy
MinWind I & II Wind Farm,MinWind I & II,4,43.6748,-96.2622,NEG Micon
MinWind III-IX Wind Farm,MinWind III-IX,7,43.6505,-96.3892,NEG Micon
Minco II Wind Energy Center,Minco II Wind Energy Center,63,35.346236,-98.00364,GE Energy
Minco Wind Energy Center,Minco Wind Energy Center,62,35.294204,-97.926081,
Minn-Dakota Wind Farm I,Minn-Dakota Wind Farm,36,44.385567,-96.436572,GE Energy
Minn-Dakota Wind Farm II,Minn-Dakota Wind Farm,64,44.385567,-96.436572,GE Energy
Minnesota Wind Share Wind Farm,Minnesota Wind Share,3,43.996,-95.9532,Suzlon Energy Company
Minnkota Power Cooperative Wind Turbine (Petersbu,Minnkota Power Cooperative Wind Turbine (Petersbu,1,48.008793,-97.930931,NEG Micon
Minnkota Power Cooperative Wind Turbine (Valley C,Minnkota Power Cooperative Wind Turbine (Valley C,1,46.918681,-97.891581,NEG Micon
Minot Wind 2,Minot Wind 2,3,48.02516,-101.290905,GE Energy
Missouri River Energy Services (MRES) Wind Farm (2002),Missouri River Energy Services (MRES),4,43.6659,-95.7493,NEG Micon
Missouri River Energy Services (MRES) Wind Farm (2003),Missouri River Energy Services (MRES),2,43.6659,-95.7493,NEG Micon
Moe Wind Farm,Moe Wind Farm,6,46.32,-110.09,Vestas
Mogul Energy Wind Farm,Mogul Energy,8,35.07665,-118.25529,Mitsubishi
Mojave 16-17-18 Wind Farm I,Mojave 16/17/18,267,35.07665,-118.25529,Mitsubishi
Mojave 16-17-18 Wind Farm II,Mojave 16/17/18,30,35.07665,-118.25529,Mitsubishi
Mojave 90 (3 & 5) Wind Farm,Mojave 90 (3 & 5),184,35.07665,-118.25529,Mitsubishi
Mojave 90 (4) Wind Farm,Mojave 90 (4),116,35.07665,-118.25529,Mitsubishi
Mojave/Morowind Wind Farm,Mojave/Morowind,59,35.07665,-118.25529,Mitsubishi
Monhegan Island,Monhegan Island,1,43.713,-69.317,
Montezuma Wind Project,Montezuma Wind Project,16,38.107973,-121.853156,Siemens
Montfort Wind Farm,Montfort Wind Farm,20,42.96266,-90.379987,GE Energy
Moorhead Wind Farm I,Moorhead,1,46.895158,-96.73081,NEG Micon
Moorhead Wind Farm II,Moorhead,1,46.895158,-96.73081,NEG Micon
Moraine II Wind Farm,Moraine II,33,44.012466,-96.114764,GE Energy
Moraine Wind Power Project,Moraine Wind Power Project,34,43.993574,-96.047301,GE Energy
"Moulton, Chandler Hills Wind Farm Phase II","Moulton, Chandler Hills Wind Farm Phase II",3,43.9189,-95.9557,Vestas
Mount St. Mary's Abbey,Mount St. Mary's Abbey,1,42.033096,-71.393711,
Mount Wachusetts Wind Farm,Mount Wachusetts Wind Farm,2,42.588458,-71.98387,
Mountain Home Wind Farm,Mountain Home,20,43.268356,-116.167939,Suzlon Energy Company
Mountain View Grand,Mountain View Grand,1,44.397987,-71.590306,Northern Power Systems
Mountain View Power Partners I Wind Farm,Mountain View Power Partners I,74,33.9095,-116.734,Mitsubishi
Mountain View Power Partners II Wind Farm,Mountain View Power Partners II,37,33.9095,-116.734,Mitsubishi
Mountain View Power Partners III Wind Farm,Mountain View Power Partners III,34,33.9095,-116.734,Vestas
Mountain Wind I Wind Farm,Mountain Wind I,29,41.275629,-110.539488,Suzlon Energy Company
Mountain Wind II Wind Farm,Mountain Wind II,38,41.275629,-110.539488,Suzlon Energy Company
Mountaineer Wind Energy Center,Mountaineer Wind Energy Center,44,39.163081,-79.554516,NEG Micon
Mower County Wind Energy Center,Mower County Wind Energy Center,43,43.695822,-92.649608,Siemens
Munnsville Wind Farm,Munnsville,23,42.948685,-75.563024,GE Energy
Murray Various Wind Farm,Murray Various,8,43.982665,-96.01146,Suzlon Energy Company
Mustang Island Offshore Wind Farm,Mustang Island Offshore Wind Farm,200,27.66,-97.01,
NREL Research Wind Farm I,NREL Research,1,39.907848,-105.223407,GE Energy
NREL Research Wind Farm II,NREL Research,1,39.90849,-105.223278,Siemens
Nature's Classroom Wind Turbine,Nature's Classroom Wind Turbine,1,42.113685,-72.008475,Northern Power Systems
NedPower Mount Storm II Wind Farm,NedPower Mount Storm II,50,39.251507,-79.178989,Gamesa
NedPower Mount Storm Wind Farm,NedPower Mount Storm,82,39.251507,-79.178989,Gamesa
Neppel Wind Power Project,Neppel Wind Power Project,1,43.402001,-94.578989,Vestas
Nevada High School Wind Farm,Nevada High School,2,42.020791,-93.435997,WindWorld
New England Tech Wind Turbine,New England Tech Wind Turbine,1,41.732743,-71.451466,
New Mexico Wind Energy Center,New Mexico Wind Energy Center,136,34.548414,-104.084157,GE Energy
Newport Nearshore Windpark,Newport Nearshore Windpark,106,39.2,-75.24,Siemens
Nine Canyon III Wind Farm,Nine Canyon III,14,46.286065,-119.425532,Siemens
Nine Canyon Wind Farm,Nine Canyon Wind Farm,37,46.286065,-119.425532,Bonus
"Nine Canyon Wind Farm, Phase II","Nine Canyon Wind Farm, Phase II",12,46.286065,-119.425532,Bonus
Noble Altona Wind Park,Noble Altona Wind Park,65,44.831383,-73.664024,GE Energy
Noble Bellmont Wind Farm,Noble Bellmont,14,44.766569,-74.094292,GE Energy
Noble Bliss Windpark,Noble Bliss Windpark,67,42.571308,-78.243045,GE Energy
Noble Chateaugay Wind Farm,Noble Chateaugay,71,44.925016,-73.999879,GE Energy
Noble Clinton Windpark,Noble Clinton Windpark,67,44.828665,-73.668909,GE Energy
Noble Ellenburg Windpark,Noble Ellenburg Windpark,54,44.923427,-73.99631,
Noble Wethersfield Wind Farm,Noble Wethersfield,84,42.684775,-78.245856,GE Energy
Nobles Wind Farm,Nobles,1,43.703317,-95.457977,Suzlon Energy Company
Nobles Wind Farm II,Nobles Wind Farm II,134,43.682956,-95.728425,GE Energy
Nome Wind Farm,Nome,18,64.5011111,-165.4063889,Entegrity
North Allegheny Wind Farm,North Allegheny,35,40.39355,-78.549095,Gamesa
North Dakota Wind I Wind Farm,North Dakota Wind I,27,46.319182,-98.890818,GE Energy
North Dakota Wind II Wind Farm,North Dakota Wind II,14,46.292787,-98.881638,GE Energy
North Shaokatan Wind Farm,North Shaokatan Wind Farm,18,44.393089,-96.425042,Vestas
Northern Colorado Wind Energy Center (GE),Northern Colorado Wind Energy Center (GE),15,40.974539,-103.025336,GE Energy
Northern Colorado Wind Energy Center (Siemens),Northern Colorado Wind Energy Center (Siemens),66,40.974539,-103.025336,Siemens
Notrees 1A (Vestas) Wind Farm,Notrees 1A (Vestas),55,31.925296,-102.722819,Vestas
Notrees 1B (GE Energy) Wind Farm,Notrees 1B (GE Energy),40,31.9685988,-99.9018131,GE Energy
